id,x,y,weight,class,red,green,blue
78,184,86,16263,0.473202614379085,184,86,92
79,12,31,22660,0.3058823529411765,12,31,191
80,130,106,18075,0.4117647058823529,130,106,79
81,250,72,19076,0.44313725490196076,250,72,17
82,210,135,11088,0.7189542483660131,210,135,205
83,86,118,12320,0.4496732026143791,86,118,140
84,223,222,13394,0.6718954248366014,223,222,69
85,243,221,39744,0.7607843137254902,243,221,118
86,66,251,30704,0.7058823529411765,66,251,223
87,191,87,33796,0.4666666666666667,191,87,79
88,178,52,48552,0.3503267973856209,178,52,38
89,104,245,38778,0.6366013071895426,104,245,138
90,155,69,13376,0.5777777777777778,155,69,218
91,228,82,18321,0.5450980392156862,228,82,107
92,212,92,23744,0.5359477124183006,212,92,106
93,61,234,29328,0.49542483660130715,61,234,84
94,202,238,9450,0.596078431372549,202,238,16
95,51,104,21760,0.26666666666666666,51,104,49
96,42,167,23240,0.5594771241830065,42,167,219
97,116,166,10010,0.5764705882352941,116,166,159
98,136,134,16380,0.40261437908496733,136,134,38
99,232,149,10944,0.7633986928104575,232,149,203
100,9,189,4480,0.5790849673202614,9,189,245
101,63,32,42504,0.3176470588235294,63,32,148
102,168,163,12705,0.5699346405228759,168,163,105
103,232,40,10692,0.4470588235294118,232,40,70
104,209,113,13464,0.542483660130719,209,113,93
105,135,169,41760,0.6026143790849673,135,169,157
106,162,206,9550,0.5947712418300654,162,206,87
107,96,187,36666,0.4745098039215686,96,187,80
108,158,203,29962,0.49673202614379086,158,203,19
109,168,134,28194,0.6640522875816994,168,134,206
110,37,3,17949,0.09019607843137255,37,3,29
111,17,111,16992,0.19607843137254902,17,111,22
112,118,129,37233,0.4588235294117647,118,129,104
113,170,168,23254,0.5660130718954248,170,168,95
114,126,168,26160,0.5699346405228759,126,168,142
115,147,39,78231,0.5673202614379085,147,39,248
116,110,154,76446,0.40261437908496733,110,154,44
117,71,126,6391,0.5111111111111112,71,126,194
118,175,206,22680,0.7045751633986927,175,206,158
119,43,78,56848,0.37254901960784315,43,78,164
120,118,62,13050,0.4915032679738562,118,62,196
121,134,42,8970,0.2888888888888889,134,42,45
122,121,7,51152,0.41568627450980394,121,7,190
123,46,241,13260,0.39738562091503266,46,241,17
124,36,28,72899,0.3084967320261438,36,28,172
125,5,34,55275,0.11764705882352941,5,34,51
126,234,247,58311,0.6588235294117647,234,247,23
127,177,110,58949,0.6745098039215687,177,110,229
128,92,27,6771,0.23006535947712417,92,27,57
129,128,38,81200,0.47973856209150323,128,38,201
130,55,195,18172,0.47581699346405226,55,195,114
131,2,147,24564,0.36339869281045756,2,147,129
132,140,55,28420,0.3856209150326797,140,55,100
133,167,202,9792,0.6405228758169935,167,202,121
134,84,149,12288,0.4823529411764706,84,149,136
135,239,210,12513,0.8313725490196079,239,210,187
136,206,15,34980,0.3673202614379085,206,15,60
137,186,232,49708,0.7176470588235294,186,232,131
138,45,12,4545,0.15032679738562094,45,12,58
139,84,96,65992,0.24836601307189543,84,96,10
140,241,51,46494,0.5934640522875817,241,51,162
141,242,59,12740,0.46797385620915033,242,59,57
142,3,205,49224,0.4745098039215686,3,205,155
143,164,130,44604,0.4130718954248366,164,130,22
144,215,61,11304,0.4928104575163399,215,61,101
145,233,42,15805,0.4928104575163399,233,42,102
146,82,2,50320,0.27450980392156865,82,2,126
147,188,43,76146,0.5372549019607843,188,43,180
148,203,198,5940,0.7071895424836602,203,198,140
149,254,217,26030,0.8653594771241829,254,217,191
